name,score,beer style,abv,cal,city,country,link
Dargett Metamorphosis,2.94,Amber Lager/Vienna,5.5,165.0,0002 Yerevan,Armenia,/beer/dargett-metamorphosis/566334/
Dargett Prunus Armeniaca,2.94,Fruit Beer,6,180.0,0002 Yerevan,Armenia,/beer/dargett-prunus-armeniaca/566336/
Academia Dunkel,2.93,Dunkel/Tmavý,4.8,144.0,Yerevan,Armenia,/beer/academia-dunkel/417636/
Dargett Vertigo,2.92,India Pale Ale (IPA),7,210.0,0002 Yerevan,Armenia,/beer/dargett-vertigo/566338/
Dargett Underdog,2.92,Spice/Herb/Vegetable,6,180.0,0002 Yerevan,Armenia,/beer/dargett-underdog/566342/
Karloff Classic,2.91,Czech Pilsner (Světlý),-,,Yerevan,Armenia,/beer/karloff-classic/417566/
Dargett 1984,2.89,Stout,4.8,144.0,0002 Yerevan,Armenia,/beer/dargett-1984/566341/
Ginevan Elitar,2.89,Premium Lager,5.6,168.0,Yerevan,Armenia,/beer/ginevan-elitar/388328/
Ginevan Platinum,2.87,Pilsener,5.1,153.0,Yerevan,Armenia,/beer/ginevan-platinum/341484/
Dargett Prunus Armeniaca,2.87,Wheat Ale,6,180.0,0002 Yerevan,Armenia,/beer/dargett-prunus-armeniaca/516412/
Karloff Gold,2.86,Dortmunder/Helles,-,,Yerevan,Armenia,/beer/karloff-gold/417568/
Kilikia Dymchatoe Temnoe,2.84,Smoked,4.4,132.0,Yerevan,Armenia,/beer/kilikia-dymchatoe-temnoe/224588/
Ginevan Gold,2.83,Pale Lager,5.3,159.0,Yerevan,Armenia,/beer/ginevan-gold/350505/
Shirak Gyumri Beer-Malt Factory CJSC,2.81,Amber Lager/Vienna,4,120.0,Gyumri,Armenia,/beer/gyumri-shirak/75039/
Dargett Armenia Invicta,2.81,Imperial IPA,8.5,255.0,0002 Yerevan,Armenia,/beer/dargett-armenia-invicta/554212/
Dargett Belle de Jour,2.79,Golden Ale/Blond Ale,5,150.0,0002 Yerevan,Armenia,/beer/dargett-belle-de-jour/566332/
Kilikia Dymchatoe Svetloe,2.79,Smoked,4.8,144.0,Yerevan,Armenia,/beer/kilikia-dymchatoe-svetloe/224587/
Abovian Brewery,2.73,Dunkel/Tmavý,6.2,186.0,Abovian,Armenia,/beer/kotayk-dark/30499/
Městské Pivo,2.66,Czech Pilsner (Světlý),4.8,144.0,Yerevan,Armenia,/beer/m283stske-pivo/339453/
Kilikia Dark,2.66,Oktoberfest/Märzen,4.4,132.0,Yerevan,Armenia,/beer/kilikia-dark/13527/
